Symbol	Length	LTL_S1	LTL_S2	LTL_S3
RP4-559A3.7	1633	0	0	0
ACBD3	3586	996	1040	1003
C1orf95	7719	22	50	103
ITPKB	7045	113	154	321
ADCK3	7065	535	541	506
CDC42BPA	12534	912	1328	1285
ZNF678	8920	479	712	638
SNAP47	4839	357	528	491
SNAP47-AS1	1710	2	7	4
WNT3A	2936	4	4	1
OBSCN	30752	2483	2490	2917
RP5-1139B12.2	3956	20	19	30
URB2	5623	176	257	203
GALNT2	5550	1340	1409	1672
PGBD5	3806	178	358	324
COG2	4075	750	980	771
TTC13	3299	156	175	211
TRIM67	9336	6	6	5
EXOC8	5120	568	757	726
SPRTN	5574	253	280	250
DISC1	10773	46	58	98
SIPA1L2	7126	449	585	895
PCNXL2	11028	267	398	476
SLC35F3	3204	0	2	1
TOMM20	3461	3247	4802	3689
ARID4B	6537	1240	1479	1413
TBCE	2241	331	415	384
B3GALNT2	4037	213	295	274
GNG4	5419	5	21	3
NID1	5884	735	672	1435
GPR137B	2282	675	755	630
EDARADD	3332	45	58	39
LGALS8	6973	466	596	660
HEATR1	8888	920	1161	1216
RYR2	16832	13	14	36
RP11-177F15.1	2904	4	3	4
CHRM3	10501	63	116	192
FMN2	9409	1	1	1
KMO	5379	115	77	97
WDR64	4435	7	15	13
PLD5	9430	1	0	3
RP11-561I11.4	480	0	0	0
CEP170	7818	420	560	778
SDCCAG8	3419	488	582	523
AKT3	6024	189	238	381
RP11-278H7.1	1811	3	2	0
ADSS	3320	744	1027	778
C1orf101	3933	35	42	28
DESI2	5110	742	962	1036
EFCAB2	6882	225	355	247
CNST	5932	511	654	563
RP11-439E19.3	2700	74	81	66
RP11-439E19.8	1274	32	20	23
AHCTF1	8928	1311	1628	1609
ZNF670	1998	86	97	105
ZNF124	4430	2668	3526	2492
NLRP3	4702	1	1	5
GCSAML	4701	0	0	1
RP11-634B7.4	1885	2	2	1
OR2L13	1889	0	0	0
DDX11L1	1660	10	17	12
MIR1302-11	139	0	0	0
FAM138A	1190	0	0	0
OR4F5	919	0	0	0
RP11-34P13.7	2752	0	0	1
RP11-34P13.8	1321	0	0	0
AL627309.1	2663	22	25	45
RP11-34P13.14	325	2	3	3
RP11-34P13.13	4862	12	14	15
RNU6-1100P	105	1	0	0
RP11-34P13.9	459	1	3	3
RP4-669L17.10	2663	0	1	1
OR4F29	996	0	0	0
RP4-669L17.2	609	0	1	1
RP5-857K21.15	679	0	0	0
RP5-857K21.1	845	0	1	0
RP5-857K21.3	500	0	0	0
RP5-857K21.5	805	0	0	0
OR4F16	996	0	0	0
RP11-206L10.3	4862	9	16	13
RNU6-1199P	105	2	1	0
RP11-206L10.5	297	6	10	7
RP11-206L10.4	458	0	0	0
RP11-206L10.2	1324	30	55	50
RP11-206L10.9	1874	10	6	11
RP11-206L10.8	527	15	24	31
AL669831.1	132	3	2	1
RP11-206L10.10	404	0	0	0
FAM87B	1946	10	9	12
LINC00115	1318	15	23	13
FAM41C	1810	17	11	5
AL645608.2	60	0	1	2
RP11-54O7.16	353	23	37	35
RP11-54O7.1	3045	74	119	144
RP11-54O7.2	445	5	2	5
RP11-54O7.3	1393	129	329	373
SAMD11	2683	152	430	534
AL645608.1	342	6	19	31
NOC2L	2927	924	1198	956
KLHL17	2572	127	124	149
PLEKHN1	2575	32	22	31
C1orf170	3069	10	11	10
RP11-54O7.17	2087	62	79	82
HES4	1043	184	285	238
RP11-54O7.11	473	4	8	4
ISG15	713	44	48	104
AGRN	7958	4641	4658	5990
RP11-54O7.14	404	0	0	0
RP11-465B22.3	981	23	58	43
RP11-54O7.18	831	0	2	2
RNF223	1904	9	19	13
RP11-465B22.5	1623	8	3	6
MIR200B	96	10	8	6
MIR200A	91	27	33	30
MIR429	84	15	26	18
RP11-465B22.8	988	100	185	99
TTLL10-AS1	3534	2	12	4
TTLL10	3704	8	19	7
TNFRSF18	1375	1	3	1
TNFRSF4	1180	1	10	10
SDF4	2191	1540	1761	1550
B3GALT6	2794	417	495	458
RP5-902P8.12	1559	20	58	53
UBE2J2	2668	410	454	400
RP5-902P8.10	391	27	29	42
SCNN1D	3875	179	271	308
ACAP3	4002	808	600	728
PUSL1	1295	158	115	96
CPSF3L	4119	1044	1340	1360
RP5-890O3.9	388	70	56	89
GLTPD1	2204	211	215	198
TAS1R3	3439	79	114	90
DVL1	3254	808	896	793
MXRA8	2846	3192	3617	3320
CCNL2	3367	3031	4194	4415
RP4-758J18.2	2059	384	483	323
MRPL20	1508	474	570	490
RN7SL657P	293	0	0	0
RP4-758J18.13	1524	28	57	55
ANKRD65	2647	36	43	63
RP4-758J18.7	545	2	3	2
TMEM88B	494	3	0	0
RP4-758J18.10	636	7	11	16
VWA1	4662	631	790	765
ATAD3C	3871	14	14	19
ATAD3B	2579	268	387	352
ATAD3A	2816	236	255	246
TMEM240	757	13	8	10
SSU72	3723	748	920	724
AL645728.1	1020	10	22	14
C1orf233	2086	25	61	48
RP11-345P4.9	2039	157	246	215
MIB2	4177	456	486	458
MMP23B	1400	3	9	17
RP11-345P4.10	402	3	2	1
SLC35E2B	6355	851	977	1055
RP11-345P4.7	1423	40	38	47
CDK11A	2867	4	18	15
RP1-283E3.8	5099	121	137	210
